Mata Kuliah : Teknologi Multimedia,,,
Tanggal : 6 Juni 2022,,,
,,,
Nama, NRP, Waktu Kedatangan
,,,
,,,
,,,
,,,
,,,
,,,
,,,





najwa,01,13:02:52
brrr,070,13:25:35
tali,12,13:27:03
wagyu,502,13:31:49
Brili,70,13:36:50
Tidak Diketahui,70,14:03:23
najwa amelia,001,14:05:52

Brilianti,011,15:07:20
